match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Attacker_rating,home_Attacker_rating,away_Defender_rating,home_Defender_rating,away_Goalkeeper_rating,home_Goalkeeper_rating
1228293,10260,9879,2012/2013,8/25/12 0:00,HOME_WIN,78,88,76.66666667,86,80,80
1228294,9850,10172,2012/2013,8/25/12 0:00,DRAW,74.33333333,71.33333333,72,71.75,77,75
1228295,8466,8528,2012/2013,8/25/12 0:00,AWAY_WIN,75,74.5,73.8,72.2,79,74
1228296,10194,9825,2012/2013,8/26/12 0:00,DRAW,81.33333333,74,76,74.6,70,76
1228297,8472,9798,2012/2013,12/11/12 0:00,HOME_WIN,70.5,77,70,73.33333333,72,76
1228298,10003,8654,2012/2013,8/25/12 0:00,HOME_WIN,71.5,75.33333333,71.4,74.25,73,81
1228299,8586,8659,2012/2013,8/25/12 0:00,DRAW,72,81,71.75,78.6,78,80
1229306,9825,10261,2012/2013,12/29/12 0:00,HOME_WIN,82,81.5,76.6,80.75,79,80
1229307,10252,8528,2012/2013,12/29/12 0:00,AWAY_WIN,75,72,74.2,69,79,76
1229308,8668,8455,2012/2013,12/30/12 0:00,AWAY_WIN,83,74,80,79.25,84,81
1229309,9879,10003,2012/2013,12/29/12 0:00,AWAY_WIN,75.66666667,0,72.25,76.66666667,72,73
1229310,10260,8659,2012/2013,12/29/12 0:00,HOME_WIN,73.66666667,0,69.5,81.5,78,80
1229312,9850,8456,2012/2013,12/29/12 0:00,AWAY_WIN,85.5,72,80.75,73.5,84,70
1229313,10172,8650,2012/2013,12/30/12 0:00,AWAY_WIN,85,74,80.75,73,83,83
1229314,9798,8654,2012/2013,12/29/12 0:00,HOME_WIN,71.5,72,72.5,71.5,72,72
1229315,10194,8466,2012/2013,12/29/12 0:00,DRAW,74,74,71.6,72.25,73,79
1229316,8472,8586,2012/2013,12/29/12 0:00,AWAY_WIN,81.5,77,77.2,73,85,76
1229317,8455,10172,2012/2013,1/2/13 0:00,AWAY_WIN,69,79.5,73.5,78,83,72
1229318,8650,8472,2012/2013,1/2/13 0:00,HOME_WIN,77,85,71.66666667,78.8,76,83
1229319,8456,10194,2012/2013,1/1/13 0:00,HOME_WIN,73.66666667,85.5,75,82,79,84
1229322,10261,8668,2012/2013,1/2/13 0:00,AWAY_WIN,75,76.5,79.25,76.4,81,79
1229323,8466,9825,2012/2013,1/1/13 0:00,DRAW,81.5,74,80.75,71.75,80,74
1229324,10003,10252,2012/2013,1/1/13 0:00,DRAW,72,76.66666667,67.6,73.25,76,81
1229325,8586,9798,2012/2013,1/1/13 0:00,HOME_WIN,72,79.66666667,71.5,78.4,72,85
1229326,8659,9879,2012/2013,1/1/13 0:00,AWAY_WIN,0,71,76.66666667,69.5,73,78
1229327,8654,9850,2012/2013,1/1/13 0:00,HOME_WIN,70,73,72,71.25,70,72
1229328,8528,10260,2012/2013,1/1/13 0:00,AWAY_WIN,85,75,81,74.2,80,79
1229329,9825,8456,2012/2013,1/13/13 0:00,AWAY_WIN,84.5,81.5,80.75,80.75,84,80
1229330,10252,8466,2012/2013,1/12/13 0:00,AWAY_WIN,74,72,72,69.25,74,76
1229331,8668,10003,2012/2013,1/12/13 0:00,DRAW,76.33333333,75,72.4,77.5,81,81
1229332,9879,8528,2012/2013,1/12/13 0:00,DRAW,72,79,74.2,76.66666667,79,79
1229333,10260,8650,2012/2013,1/13/13 0:00,HOME_WIN,85,88,78.8,84.33333333,83,80
1229334,9850,10261,2012/2013,1/12/13 0:00,DRAW,82,72,76,73.5,79,70
1229335,10172,8586,2012/2013,1/12/13 0:00,DRAW,81.5,69,78.4,73.5,85,83
1229336,9798,8659,2012/2013,1/12/13 0:00,HOME_WIN,74,72,71.25,72,78,72
1229337,10194,8455,2012/2013,1/12/13 0:00,AWAY_WIN,82,74,79,75,84,79
1229338,8472,8654,2012/2013,1/12/13 0:00,HOME_WIN,71.5,77,69.5,73.5,72,76
1229340,8455,9825,2012/2013,1/20/13 0:00,HOME_WIN,80.5,83,79.2,80.25,80,84
1229341,8650,9850,2012/2013,1/19/13 0:00,HOME_WIN,76,82.5,71.75,77.6,70,70
1229342,8456,9879,2012/2013,1/19/13 0:00,HOME_WIN,0,84.5,76.66666667,80.75,79,84
1229343,10261,9798,2012/2013,1/19/13 0:00,AWAY_WIN,72,76.5,71.66666667,77.25,72,79
1229344,8466,8668,2012/2013,1/21/13 0:00,DRAW,75,74,77.5,72,81,74
1229345,10003,10194,2012/2013,1/19/13 0:00,HOME_WIN,73,77,75.33333333,71.5,79,81
1229346,8586,10260,2012/2013,1/20/13 0:00,DRAW,88,81.5,82.75,76.5,80,85
1229347,8659,10252,2012/2013,1/19/13 0:00,DRAW,73,74,71.6,71.25,76,78
1229348,8654,10172,2012/2013,1/19/13 0:00,DRAW,73.5,70,73.5,71.25,83,72
1229349,8528,8472,2012/2013,1/19/13 0:00,AWAY_WIN,77,72,73.5,73.4,76,79
1229350,9825,8650,2012/2013,1/30/13 0:00,DRAW,82.5,81,77.6,80.75,83,80
1229351,10252,10261,2012/2013,1/29/13 0:00,AWAY_WIN,82,77,76.2,71.6,79,76
1229352,10260,8466,2012/2013,1/30/13 0:00,HOME_WIN,74,88,72.2,81.5,74,80
